sessionid,email,createdate,language,country,processed,total,converted
1o1mni21lcmduddvel,,2025-08-08 17:37:35.956231+02,en,GB,False,14.4,False
1o1mni21lcmdudzrqh,,2025-08-02 17:12:32.739557+02,fr,FR,False,25.8,False
1o1mni21lcmdue7xl8,anon+7ab572eacc2e@example.invalid,2025-08-02 17:47:41.171685+02,fr,CH,True,32.2,True
1o1mni21lcmdueiiyl,,2025-08-02 17:22:46.114761+02,es,ES,False,0.0,False
1o1mni21lcmduej9sw,,2025-08-03 17:20:00.076085+02,es,ES,False,24.8,False
1o1mni21lcmduf0yum,,2025-08-02 17:39:32.560422+02,es,ES,False,35.1,False
1o1mni21lcmduf205f,,2025-08-02 17:50:01.200357+02,en,GB,False,0.0,False
1o1mni21lcmdug8yyo,,2025-08-02 18:11:05.893182+02,es,ES,False,31.7,False
1o1mni21lcmdugqkbl,anon+15b2c2234740@example.invalid,2025-08-02 18:31:22.076678+02,en,GB,True,17.9,True
1o1mni21lcmduhetqh,anon+c0838b159cc1@example.invalid,2025-08-02 19:03:03.653757+02,es,ES,True,24.8,False
1o1mni21lcmduhlphw,anon+37304c6f1bba@example.invalid,2025-08-02 18:59:23.064761+02,en,GB,True,24.9,True
1o1mni21lcmduhqha7,,2025-08-02 18:52:35.555465+02,fr,FR,False,,False
1o1mni21lcmduiv3wq,,2025-08-02 19:24:19.352622+02,fr,FR,False,,True
1o1mni21lcmduj6kdy,,2025-08-02 19:53:52.392202+02,en,GB,False,17.9,False
1o1mni21lcmdujddx8,,2025-08-02 19:58:45.409216+02,fr,FR,False,11.9,False
1o1mni21lcmdujg426,,2025-08-02 19:41:33.958276+02,en,GB,False,,False
1o1mni21lcmdujk61g,anon+3bbb89553da2@example.invalid,2025-08-02 19:45:19.282609+02,en,GB,True,,False
1o1mni21lcmdukj2h9,,2025-08-02 20:10:50.568362+02,en,GB,False,,False
1o1mni21lcmdukr1tp,,2025-08-02 20:18:30.96381+02,en,ES,True,,True
1o1mni21lcmdul8dc2,anon+e471fc064066@example.invalid,2025-08-02 20:37:20.390613+02,sv,SE,True,257.0,True
1o1mni21lcmdul9ehu,,2025-08-02 21:13:40.430029+02,en,SE,False,147.0,False
1o1mni21lcmdulum1n,,2025-08-05 20:22:37.390849+02,en,GB,False,24.9,False
1o1mni21lcmdulwy9v,,2025-08-02 20:49:35.921764+02,en,GB,False,0.0,False
1o1mni21lcmdumcu5h,,2025-08-02 21:06:53.947239+02,fr,FR,False,15.3,False
1o1mni21lcmdumsi09,,2025-08-02 21:25:19.37166+02,es,ES,False,24.8,False
1o1mni21lcmdun67i9,anon+76798d79648a@example.invalid,2025-08-02 21:30:04.75299+02,en,GB,True,0.0,True
1o1mni21lcmdun8tlh,,2025-08-02 21:42:58.636297+02,it,IT,False,14.85,False
1o1mni21lcmdupnxds,,2025-08-02 22:35:17.953296+02,en,GB,False,12.15,False
1o1mni21lcmdupq6ky,anon+dab2b8eb0246@example.invalid,2025-08-04 10:12:41.782299+02,es,ES,True,22.14,False
1o1mni21lcmduqckm7,,2025-08-02 23:02:55.829558+02,es,ES,False,,False
1o1mni21lcmduqfe3c,anon+50f89842c2da@example.invalid,2025-08-02 23:12:59.727247+02,en,GB,True,34.4,True
1o1mni21lcmduqrajs,,2025-08-02 23:05:09.840028+02,de,DE,False,0.0,False
1o1mni21lcmduqt5k9,,2025-08-02 23:13:46.708741+02,en,GB,False,21.4,False
1o1mni21lcmdur8vxy,,2025-08-02 23:32:36.240179+02,fr,FR,False,20.95,False
1o1mni21lcmdushiwf,anon+12587cd9cc1f@example.invalid,2025-08-02 23:56:17.429675+02,en,GB,True,,False
1o1mni21lcmdusive4,anon+6dca43b0fe5c@example.invalid,2025-08-02 23:57:00.137471+02,de,DE,True,11.8,False
1o1mni21lcmdutypig,anon+bb0dbcd033f8@example.invalid,2025-08-03 00:43:20.878977+02,en,GB,True,,False
1o1mni21lcmduv6k0e,,2025-08-03 01:10:34.231618+02,es,ES,False,,False
1o1mni21lcmdux9728,,2025-08-03 02:13:49.486495+02,es,ES,False,19.52,False
1o1mni21lcmduz8hsq,,2025-08-03 03:19:01.695295+02,en,GB,False,22.9,False
1o1mni21lcmdv1rmzs,anon+876e21fa49d3@example.invalid,2025-08-03 04:27:05.538136+02,fr,FR,True,25.8,True
1o1mni21lcmdv65fet,,2025-08-03 06:16:03.862511+02,en,GB,False,,False
1o1mni21lcmdv6jskg,anon+7430b6ec3c16@example.invalid,2025-08-03 06:37:46.467928+02,es,ES,True,20.9,False
1o1mni21lcmdv81jcj,,2025-08-03 07:11:30.960628+02,it,IT,False,22.3,False
1o1mni21lcmdv9xwom,,2025-08-03 08:04:30.897017+02,de,DE,False,24.16,False
1o1mni21lcmdva2gij,,2025-08-03 08:08:12.542332+02,es,ES,False,17.8,False
1o1mni21lcmdvafoc7,anon+8c23c07101a8@example.invalid,2025-08-03 08:27:45.18437+02,es,ES,True,,False
1o1mni21lcmdvap9zi,,2025-08-03 08:26:11.788428+02,de,DE,False,11.8,False
1o1mni21lcmdvav9hd,,2025-08-03 08:29:00.499254+02,fr,FR,False,32.5,False
1o1mni21lcmdvayvar,,2025-08-03 08:32:33.662129+02,fr,FR,False,,False
1o1mni21lcmdvbdf4w,anon+20f9b17d985b@example.invalid,2025-08-04 09:06:29.525728+02,fr,FR,True,,True
1o1mni21lcmdvbiw12,anon+4f5d4ec7aa99@example.invalid,2025-08-03 08:53:03.434681+02,sv,SE,True,327.0,True
1o1mni21lcmdvcn4hl,,2025-08-03 09:24:48.871406+02,fr,FR,False,0.0,False
1o1mni21lcmdvcuqh0,,2025-08-03 09:53:13.903284+02,fr,FR,False,29.3,False
1o1mni21lcmdvcvy4c,anon+2d3be3ee303d@example.invalid,2025-08-05 08:25:29.240792+02,es,ES,True,17.82,False
1o1mni21lcmdvd1tss,,2025-08-03 09:30:16.949914+02,de,DE,False,11.8,False
1o1mni21lcmdvdk3tb,anon+dc232aea74d6@example.invalid,2025-08-03 09:58:17.1481+02,fr,FR,True,18.7,True
1o1mni21lcmdvdu4l9,anon+cf4db11ab0d0@example.invalid,2025-08-05 19:31:06.5577+02,fr,FR,True,,False
1o1mni21lcmdvdytv5,,2025-08-03 10:27:28.120597+02,es,ES,False,24.8,False
1o1mni21lcmdve7rfx,anon+81b8c90603ce@example.invalid,2025-08-03 10:13:27.923291+02,en,GB,True,17.9,True
1o1mni21lcmdvf1y9y,,2025-08-03 10:28:38.686863+02,es,ES,False,21.2,False
1o1mni21lcmdvfaq5v,anon+378ae2c9cb8c@example.invalid,2025-08-03 10:42:09.074514+02,en,GB,True,21.4,True
1o1mni21lcmdvfety7,anon+d0e7f297915c@example.invalid,2025-08-03 10:36:42.228122+02,en,GB,True,24.9,True
1o1mni21lcmdvfqygl,,2025-08-03 10:53:40.390051+02,it,IT,False,22.3,False
1o1mni21lcmdvfr46s,,2025-08-03 10:46:11.906548+02,de,DE,False,52.8,False
1o1mni21lcmdvgd7vw,,2025-08-03 11:04:55.191391+02,de,DE,False,14.85,False
1o1mni21lcmdvgzvzj,,2025-08-03 11:19:40.999752+02,en,GB,False,,False
1o1mni21lcmdvh0gy7,anon+a5afc558abdc@example.invalid,2025-08-03 11:26:13.220252+02,en,GB,True,,False
1o1mni21lcmdvh7ax2,anon+f80a2d2aae5c@example.invalid,2025-08-03 11:33:21.33642+02,de,DE,True,25.64,True
1o1mni21lcmdvhmgx5,,2025-08-03 11:42:04.904255+02,fr,FR,False,11.8,False
1o1mni21lcmdvhmo8c,,2025-08-03 11:39:42.607345+02,it,IT,False,14.8,False
1o1mni21lcmdvhyth1,anon+716f99e6fd78@example.invalid,2025-08-03 11:49:28.283007+02,es,ES,True,,False
1o1mni21lcmdvi2xvf,,2025-08-03 12:02:27.096077+02,de,DE,False,25.8,False
1o1mni21lcmdviuqaz,,2025-08-03 12:22:58.244256+02,es,ES,True,,True
1o1mni21lcmdvj4dk1,anon+78820e9d93e4@example.invalid,2025-08-03 12:32:20.200899+02,es,ES,True,,False
1o1mni21lcmdvj979h,anon+c9b4cf8de855@example.invalid,2025-08-03 15:45:08.130959+02,de,DE,True,18.7,False
1o1mni21lcmdvjesmq,anon+a5afc558abdc@example.invalid,2025-08-03 12:32:00.456694+02,en,GB,True,24.9,True
1o1mni21lcmdvjnf3u,,2025-08-03 12:33:57.484414+02,fr,FR,False,0.0,False
1o1mni21lcmdvjov8q,,2025-08-03 14:02:17.810553+02,en,GB,True,,True
1o1mni21lcmdvjseit,,2025-08-03 12:46:07.323788+02,en,GB,False,14.4,False
1o1mni21lcmdvk99o8,anon+5d1fbf4d60ac@example.invalid,2025-08-03 12:55:31.219863+02,fr,FR,True,25.8,True
1o1mni21lcmdvk9fzd,,2025-08-03 12:51:05.380684+02,fr,CH,False,0.0,False
1o1mni21lcmdvkccnj,,2025-08-03 13:15:54.80596+02,es,ES,False,,False
1o1mni21lcmdvkdqgp,anon+33d43d98f515@example.invalid,2025-08-03 13:08:58.400894+02,es,ES,True,24.8,False
1o1mni21lcmdvkppsa,anon+d2966b6b40e1@example.invalid,2025-08-07 22:53:29.985085+02,es,ES,True,31.2,True
1o1mni21lcmdvlwy0m,,2025-08-03 13:49:32.161457+02,en,GB,False,0.0,False
1o1mni21lcmdvm2bui,,2025-08-03 20:57:32.2742+02,it,IT,False,0.0,False
1o1mni21lcmdvnadhw,,2025-08-03 15:10:24.005942+02,de,DE,False,25.8,False
1o1mni21lcmdvncf2w,anon+355676376a0c@example.invalid,2025-08-03 14:50:24.588356+02,es,ES,True,,False
1o1mni21lcmdvnl955,anon+9d0573a4bf46@example.invalid,2025-08-03 14:39:41.924536+02,de,DE,True,22.3,False
1o1mni21lcmdvnlv1e,anon+150c81bf1c4c@example.invalid,2025-08-03 14:29:25.284477+02,fr,FR,True,15.3,False
1o1mni21lcmdvpcw8m,anon+e72341b6c621@example.invalid,2025-08-03 15:27:06.513166+02,es,ES,True,28.3,True
1o1mni21lcmdvpm2la,,2025-08-03 15:21:49.90458+02,es,ES,False,17.8,False
1o1mni21lcmdvq2pva,anon+4cf4f5ff8fa2@example.invalid,2025-08-06 14:48:23.930857+02,en,GB,True,23.9,True
1o1mni21lcmdvqj697,anon+42a872477dbb@example.invalid,2025-08-03 21:11:59.442194+02,sv,SE,True,257.0,False
1o1mni21lcmdvr7nnq,anon+009a95e0f323@example.invalid,2025-08-03 16:30:33.031786+02,en,GB,True,19.5,True
1o1mni21lcmdvrawxg,anon+2fb11439cb6e@example.invalid,2025-08-03 16:08:11.36916+02,fr,FR,True,27.22,False
1o1mni21lcmdvrqipq,anon+8951c33c8f03@example.invalid,2025-08-03 16:58:14.119779+02,es,ES,True,17.7,True
1o1mni21lcmdvs23px,,2025-08-03 16:29:29.165964+02,es,US,False,,False
1o1mni21lcmdvsettw,,2025-08-03 16:41:56.296894+02,en,GB,False,,False
1o1mni21lcmdvst55t,,2025-08-03 16:53:02.388982+02,en,GB,False,10.9,False
1o1mni21lcmdvtnbbf,,2025-08-03 17:25:58.949174+02,en,GB,False,24.9,False
1o1mni21lcmdvtqqxo,,2025-08-03 17:18:08.495322+02,es,ES,False,,False
1o1mni21lcmdvug0uy,anon+da32526342db@example.invalid,2025-08-03 17:47:32.529205+02,en,GB,True,,False
1o1mni21lcmdvulliv,,2025-08-03 17:45:33.592203+02,es,ES,False,10.8,False
1o1mni21lcmdvvn0m5,anon+9c779cf65518@example.invalid,2025-08-03 18:26:19.017404+02,es,ES,True,21.3,True
1o1mni21lcmdvw4kid,,2025-08-03 18:26:20.619657+02,sv,SE,False,118.0,False
1o1mni21lcmdvwegcg,,2025-08-03 18:33:19.42141+02,en,GB,False,,False
1o1mni21lcmdvx10b7,,2025-08-03 18:50:58.35406+02,sv,SE,False,148.0,False
1o1mni21lcmdvxnj9y,,2025-08-03 19:07:28.709739+02,es,ES,False,17.8,False
1o1mni21lcmdvxy9v6,,2025-08-03 19:14:29.308975+02,es,ES,False,,False
1o1mni21lcmdvy396w,anon+c9460e6b4201@example.invalid,2025-08-03 19:23:35.383316+02,es,ES,True,17.8,True
1o1mni21lcmdvy84xt,,2025-08-03 19:23:18.794423+02,sv,SE,True,124.0,False
1o1mni21lcmdvyjej8,anon+308f187172aa@example.invalid,2025-08-03 19:44:25.177712+02,en,GB,True,23.0,True
1o1mni21lcmdvyqqxs,,2025-08-03 19:38:35.868838+02,de,DE,False,,False
1o1mni21lcmdvzah3x,anon+fb6aa91c26cb@example.invalid,2025-08-05 08:30:20.025965+02,es,ES,True,,False
1o1mni21lcmdvzskcg,,2025-08-03 20:20:14.471029+02,en,GB,False,16.9,False
1o1mni21lcmdw07aq3,anon+ab10fc3514d2@example.invalid,2025-08-03 20:32:52.824373+02,es,ES,True,,True
1o1mni21lcmdw0ghwt,,2025-08-03 20:34:37.485114+02,fr,FR,False,16.7,False
1o1mni21lcmdw0qugx,,2025-08-03 20:45:07.258443+02,fr,FR,False,62.8,False
1o1mni21lcmdw0zmto,anon+0798ade861bf@example.invalid,2025-08-03 21:14:49.280202+02,es,PL,True,22.2,False
1o1mni21lcmdw1ctb4,anon+840c9d25f2ae@example.invalid,2025-08-04 19:49:57.536391+02,fr,FR,True,30.02,True
1o1mni21lcmdw1d1v9,anon+fdc4d1441dbd@example.invalid,2025-08-03 21:42:38.765744+02,es,ES,True,0.0,True
1o1mni21lcmdw1myv1,anon+9562d0791c50@example.invalid,2025-08-03 20:59:11.48841+02,es,ES,True,18.3,True
1o1mni21lcmdw23k1h,,2025-08-03 21:13:18.613479+02,it,IT,False,11.8,False
1o1mni21lcmdw2ppvs,anon+588133a6068a@example.invalid,2025-08-03 21:42:56.315396+02,en,GB,True,0.0,False
1o1mni21lcmdw2z67s,anon+42a872477dbb@example.invalid,2025-08-03 21:37:10.942702+02,sv,SE,True,257.0,True
1o1mni21lcmdw3ol2v,anon+588133a6068a@example.invalid,2025-08-03 21:55:11.3534+02,en,GB,True,24.9,True
1o1mni21lcmdw4g69p,anon+4b124ffa5199@example.invalid,2025-08-03 22:19:15.058273+02,es,ES,True,0.0,True
1o1mni21lcmdw4r1hh,anon+5c88eb6b13e4@example.invalid,2025-08-03 22:27:48.738291+02,en,GB,True,,False
1o1mni21lcmdw54bmd,anon+055b0935c636@example.invalid,2025-08-03 23:18:32.220132+02,sv,SE,True,185.0,True
1o1mni21lcmdw5bito,anon+991aa35ccd9e@example.invalid,2025-08-03 23:27:25.508792+02,en,GB,True,28.4,True
1o1mni21lcmdw5vmpg,anon+1873cb5b3de0@example.invalid,2025-08-07 19:15:50.17255+02,de,DE,True,72.7,True
1o1mni21lcmdw74g7w,anon+fb1c60d771da@example.invalid,2025-08-03 23:38:54.505069+02,fr,FR,True,24.2,True
1o1mni21lcmdw989fk,anon+c96a512706f7@example.invalid,2025-08-04 00:55:14.212667+02,de,DE,True,,False
1o1mni21lcmdwa78tc,,2025-08-04 01:50:12.733214+02,es,ES,False,,False
1o1mni21lcmdwjjff9,anon+262bdde82b31@example.invalid,2025-08-04 05:43:52.544419+02,fr,FR,True,25.8,True
1o1mni21lcmdwk51ir,,2025-08-08 14:44:50.238001+02,es,ES,False,29.7,False
1o1mni21lcmdwkbc7l,anon+5990c6926b39@example.invalid,2025-08-04 05:52:10.458174+02,es,ES,True,21.3,True
1o1mni21lcmdwmql8g,,2025-08-04 06:52:45.230531+02,it,IT,False,16.14,False
1o1mni21lcmdwmwkky,,2025-08-04 06:52:49.890606+02,en,US,False,0.0,False
1o1mni21lcmdwn9756,anon+451f02eef34a@example.invalid,2025-08-04 07:27:56.393401+02,fr,FR,True,,False
1o1mni21lcmdwp4c46,,2025-08-04 08:02:45.0232+02,it,IT,False,0.0,False
1o1mni21lcmdwpik0m,,2025-08-05 12:38:15.445568+02,en,GB,False,16.9,False
1o1mni21lcmdwpknie,,2025-08-04 08:07:36.04975+02,it,IT,False,0.0,False
1o1mni21lcmdwpkqdn,,2025-08-04 08:07:47.928691+02,it,IT,False,0.0,False
1o1mni21lcmdwppxan,,2025-08-04 08:12:48.410175+02,de,DE,False,,False
1o1mni21lcmdwqkvtd,anon+23e2d6e478bf@example.invalid,2025-08-04 08:39:28.573316+02,es,ES,True,,False
1o1mni21lcmdwr1l0v,anon+8a2350d6a8df@example.invalid,2025-08-04 08:56:36.812412+02,it,IT,True,0.0,False
1o1mni21lcmdwr4t61,,2025-08-04 08:52:36.845208+02,en,GB,False,11.8,False
1o1mni21lcmdwrzuar,anon+52cbe9b678b9@example.invalid,2025-08-04 09:15:41.925093+02,fr,FR,True,32.2,False
1o1mni21lcmdws4jcl,anon+4f577b8852ec@example.invalid,2025-08-04 09:30:20.370003+02,sv,SE,True,,False
1o1mni21lcmdwt48sn,anon+ac911f955829@example.invalid,2025-08-04 12:10:47.47738+02,es,ES,True,21.3,True
1o1mni21lcmdwtu374,,2025-08-04 10:06:58.09453+02,es,ES,False,0.0,False
1o1mni21lcmdwu4ha1,anon+e4fa51253b2b@example.invalid,2025-08-04 10:21:41.067335+02,es,ES,True,14.3,True
1o1mni21lcmdwu6ayx,,2025-08-04 10:17:27.707504+02,es,ES,False,10.8,False
1o1mni21lcmdwu8314,,2025-08-04 10:17:44.250857+02,es,ES,False,0.0,False
1o1mni21lcmdwv8agl,anon+99b4c7e84aa5@example.invalid,2025-08-04 11:00:17.215448+02,en,GB,True,,False
1o1mni21lcmdwvh57b,,2025-08-04 10:53:07.836594+02,es,ES,False,10.9,False
1o1mni21lcmdwwf1jo,,2025-08-04 11:26:42.691599+02,es,ES,False,,False
1o1mni21lcmdwwgpfo,,2025-08-07 11:52:48.631765+02,es,ES,False,17.8,False
1o1mni21lcmdwwhyx6,,2025-08-05 08:39:32.236908+02,fr,FR,False,0.0,False
1o1mni21lcmdwwo3ji,,2025-08-04 11:34:33.196069+02,es,ES,False,,False
1o1mni21lcmdwx0skj,anon+628fecdfd8af@example.invalid,2025-08-04 11:44:29.396492+02,es,ES,True,0.0,True
1o1mni21lcmdwxl1or,anon+628fecdfd8af@example.invalid,2025-08-04 11:51:48.873038+02,es,ES,True,0.0,False
1o1mni21lcmdwy9n5m,anon+93a7877b8ec9@example.invalid,2025-08-04 12:18:09.884599+02,fr,FR,True,27.7,True
1o1mni21lcmdwyejmc,anon+27a7459aa9f4@example.invalid,2025-08-04 12:25:48.071632+02,en,GB,True,22.9,True
1o1mni21lcmdwyfsgc,anon+a2c270822b89@example.invalid,2025-08-04 12:21:01.855088+02,sv,SE,True,148.0,True
1o1mni21lcmdwygd6e,,2025-08-04 12:18:28.168307+02,sv,SE,False,124.0,False
1o1mni21lcmdwzl1qv,anon+03dcca3a1e48@example.invalid,2025-08-04 12:48:42.680242+02,de,DE,True,27.7,False
1o1mni21lcmdwzx8zu,,2025-08-04 13:10:09.182927+02,es,ES,False,21.3,False
1o1mni21lcmdx17ptw,,2025-08-04 13:55:02.005181+02,fr,FR,False,25.8,False
1o1mni21lcmdx1amr1,,2025-08-04 13:38:24.525612+02,es,ES,False,13.85,False
1o1mni21lcmdx1hahf,anon+bf97668e4f67@example.invalid,2025-08-04 13:43:51.025398+02,es,ES,True,10.8,True
1o1mni21lcmdx1q7ks,anon+7b30488f8897@example.invalid,2025-08-04 13:58:12.366276+02,es,ES,True,28.3,True
1o1mni21lcmdx2cct8,,2025-08-04 14:07:04.902332+02,en,GB,False,31.9,False
1o1mni21lcmdx2dq99,anon+d54945995173@example.invalid,2025-08-04 14:18:56.446221+02,en,GB,True,28.85,True
1o1mni21lcmdx3efu5,,2025-08-04 20:42:18.747541+02,de,DE,False,46.09,False
1o1mni21lcmdx3gk3v,,2025-08-04 14:49:36.146154+02,es,ES,False,28.3,False
1o1mni21lcmdx4n1wk,,2025-08-04 15:09:19.32911+02,it,IT,False,,False
1o1mni21lcmdx4waj7,anon+fc43d81538b2@example.invalid,2025-08-04 15:29:57.96006+02,es,ES,True,24.8,True
1o1mni21lcmdx57bmh,anon+f7392e848f08@example.invalid,2025-08-04 15:55:43.692916+02,en,GB,True,20.9,True
1o1mni21lcmdx593b2,anon+9bac16b03d30@example.invalid,2025-08-04 15:29:59.087649+02,es,ES,True,,False
1o1mni21lcmdx5h6qv,,2025-08-04 15:42:01.526434+02,fr,FR,False,14.8,False
1o1mni21lcmdx6ghgo,anon+157407cb6223@example.invalid,2025-08-04 16:04:41.1564+02,en,GB,True,10.9,False
1o1mni21lcmdx6npcr,anon+109a055602eb@example.invalid,2025-08-04 16:26:30.561323+02,sv,SE,True,0.0,False
1o1mni21lcmdx74oqo,anon+3f3e58f7c3a9@example.invalid,2025-08-04 16:22:52.396655+02,sv,SE,True,,False
1o1mni21lcmdx76nvg,anon+6d2d827c8115@example.invalid,2025-08-04 16:55:26.719443+02,en,GB,True,,False
1o1mni21lcmdx7qhkt,anon+c59199c375cc@example.invalid,2025-08-04 16:43:11.135504+02,en,GB,True,14.4,False
1o1mni21lcmdx851f2,anon+22183c6bcd19@example.invalid,2025-08-04 16:57:18.123966+02,es,ES,True,,False
1o1mni21lcmdx8dawb,,2025-08-04 17:00:06.051201+02,es,ES,False,0.0,False
1o1mni21lcmdx8imzj,anon+b31c6e1151fb@example.invalid,2025-08-04 17:08:49.294885+02,en,GB,True,,False
1o1mni21lcmdx8k54q,anon+6d2d827c8115@example.invalid,2025-08-04 17:20:24.713263+02,en,GB,True,0.0,False
1o1mni21lcmdx8nyvq,anon+93721e05c109@example.invalid,2025-08-04 17:08:33.491307+02,en,GB,True,,False
1o1mni21lcmdx8pddx,,2025-08-04 17:07:03.668855+02,en,GB,False,14.4,False
1o1mni21lcmdx8q034,anon+3c84bd9b5d77@example.invalid,2025-08-04 17:13:45.254256+02,es,ES,True,21.3,True
1o1mni21lcmdx8ujtr,,2025-08-04 17:07:16.962259+02,en,RO,False,49.1,False
1o1mni21lcmdx91kzl,anon+e27e54c40e58@example.invalid,2025-08-04 17:15:22.528935+02,es,ES,True,17.82,True
1o1mni21lcmdx9baq2,anon+b31c6e1151fb@example.invalid,2025-08-04 17:22:34.736761+02,en,GB,True,17.9,True
1o1mni21lcmdx9dr0h,,2025-08-04 17:39:17.183041+02,fr,FR,False,15.3,False
1o1mni21lcmdx9r1qd,anon+3b63f1da3bdc@example.invalid,2025-08-04 17:48:59.628724+02,en,GB,True,22.9,True
1o1mni21lcmdx9zvec,,2025-08-04 17:39:46.379118+02,es,ES,False,10.8,False
1o1mni21lcmdxb2io2,,2025-08-04 18:09:19.386335+02,en,GB,False,0.0,False
1o1mni21lcmdxbjn6c,,2025-08-04 18:24:48.13152+02,fr,FR,False,14.85,False
1o1mni21lcmdxbnh51,anon+570a53b63c5e@example.invalid,2025-08-04 20:09:39.677967+02,en,GB,True,23.26,True
1o1mni21lcmdxbpgzj,,2025-08-04 18:28:39.522827+02,de,DE,False,31.8,False
1o1mni21lcmdxczrwe,,2025-08-05 01:47:45.371979+02,es,ES,False,17.8,False
1o1mni21lcmdxdgxfz,,2025-08-04 19:18:06.985213+02,en,GB,False,16.9,False
1o1mni21lcmdxdtldz,anon+840c9d25f2ae@example.invalid,2025-08-04 19:44:21.920571+02,fr,FR,True,30.02,False
1o1mni21lcmdxdxpx1,,2025-08-04 19:37:33.548402+02,fr,FR,False,22.3,False
1o1mni21lcmdxev2yv,anon+4bb7c28e0207@example.invalid,2025-08-04 20:04:07.396716+02,es,ES,True,,False
1o1mni21lcmdxfaieo,,2025-08-04 20:16:49.997885+02,es,ES,False,31.8,False
1o1mni21lcmdxg1ory,anon+7a80423fd9d7@example.invalid,2025-08-04 20:37:34.536376+02,en,GB,True,,False
1o1mni21lcmdxgeib0,anon+7f1ac9ddd86a@example.invalid,2025-08-04 20:39:44.369858+02,en,US,True,39.7,False
1o1mni21lcmdxh5088,,2025-08-04 22:39:25.443133+02,fr,FR,False,20.7,False
1o1mni21lcmdxhh95i,anon+6460732d435b@example.invalid,2025-08-04 21:09:22.291226+02,fr,FR,True,18.7,True
1o1mni21lcmdxidg6s,,2025-08-04 21:46:33.408593+02,fr,FR,False,20.7,False
1o1mni21lcmdxio3to,anon+836f3274c3cc@example.invalid,2025-08-04 21:54:00.500041+02,es,ES,True,28.3,True
1o1mni21lcmdxiw6q9,,2025-08-04 22:05:11.933696+02,es,ES,False,15.02,False
1o1mni21lcmdxjg6zk,anon+d67ae95e00e0@example.invalid,2025-08-04 22:17:18.821876+02,fr,FR,True,,False
1o1mni21lcmdxjj5em,anon+31208eee0115@example.invalid,2025-08-04 23:09:07.644276+02,es,ES,True,0.0,True
1o1mni21lcmdxjjtnr,anon+94abfd4ceb8e@example.invalid,2025-08-04 22:17:09.098313+02,en,GB,True,21.4,False
1o1mni21lcmdxjvi5j,anon+44b1bee863c0@example.invalid,2025-08-04 23:19:56.197303+02,fr,FR,True,25.8,True
1o1mni21lcmdxk7joo,,2025-08-04 22:25:11.536582+02,es,ES,False,0.0,False
1o1mni21lcmdxl36ns,,2025-08-04 22:51:30.079479+02,fr,FR,False,,False
1o1mni21lcmdxmk7vz,,2025-08-04 23:32:48.208533+02,es,ES,False,31.71,False
1o1mni21lcmdxmo7qo,,2025-08-04 23:34:06.411846+02,es,ES,False,0.0,False
1o1mni21lcmdxmze0y,anon+786b9d10984d@example.invalid,2025-08-04 23:50:28.485888+02,es,ES,True,,False
1o1mni21lcmdxnebqt,anon+f2818b9566da@example.invalid,2025-08-05 00:22:30.103915+02,sv,SE,True,258.0,True
1o1mni21lcmdxo6448,anon+593ac5f43559@example.invalid,2025-08-05 00:21:50.025885+02,es,ES,True,13.8,False
